Thepa	Theca	Carpa	Arath
4	3	1	2
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
0	1	1	0
2	1	1	1
2	1	1	2
1	1	1	1
1	1	0	1
2	1	1	1
0	1	1	1
2	1	1	2
1	1	0	1
1	1	1	1
3	1	1	2
1	1	1	1
0	1	0	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	6	4	7
1	1	0	1
1	1	1	1
2	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
5	4	3	3
1	1	1	1
2	1	1	2
2	1	1	2
2	7	19	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
2	1	2	1
1	1	1	1
1	1	1	1
2	1	1	2
2	1	1	2
1	1	1	1
1	1	1	1
4	5	4	6
1	1	1	2
1	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	2	1	2
1	1	1	1
2	2	1	2
1	1	1	1
1	1	2	1
1	1	1	1
0	1	1	0
1	1	1	1
2	2	2	2
1	1	1	2
1	1	1	1
1	1	1	1
2	1	0	1
0	1	1	0
1	1	1	1
0	2	2	0
3	4	4	3
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
2	1	1	2
1	1	1	1
1	1	0	2
1	1	0	1
1	2	1	1
1	1	1	1
2	1	1	2
0	1	1	0
4	5	5	4
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
2	3	1	6
1	1	1	1
1	1	1	1
5	2	3	4
1	1	1	1
1	1	1	1
1	1	0	1
3	4	2	4
1	1	1	2
2	2	2	2
0	2	3	0
1	1	1	2
1	1	1	1
1	1	1	1
2	2	1	2
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
2	2	0	2
3	1	1	2
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
4	3	2	4
1	1	1	1
1	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	0	2
1	1	2	1
1	1	1	1
2	1	1	1
1	1	1	1
2	1	0	2
1	1	1	1
0	1	1	0
2	1	1	2
1	2	1	1
1	2	1	1
1	2	0	2
0	1	1	0
0	1	1	1
1	1	1	1
1	1	1	1
1	3	1	6
1	1	1	1
1	1	2	1
1	2	1	2
1	1	1	1
4	1	1	4
1	1	0	1
1	1	1	1
2	1	1	3
1	1	0	1
1	1	1	1
1	1	1	1
1	1	2	1
1	1	0	1
1	1	1	1
2	1	1	2
1	1	2	2
2	1	1	2
1	2	0	1
1	1	1	1
1	2	3	1
1	2	1	1
1	1	1	1
1	1	2	2
0	1	1	0
1	1	1	1
1	1	1	1
0	2	1	0
1	1	1	1
1	1	1	1
1	1	1	1
3	2	2	3
1	1	1	1
1	1	1	1
2	1	1	1
2	1	1	2
1	1	0	1
1	1	1	1
3	1	1	3
2	1	1	2
1	1	1	1
1	1	1	1
3	3	3	4
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
2	2	1	3
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	2
2	1	1	2
1	1	1	1
1	1	1	1
3	2	2	3
0	1	1	1
2	2	0	3
1	1	1	1
1	1	1	1
1	1	2	1
1	1	1	2
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
2	2	2	2
1	1	1	1
1	1	1	1
2	1	1	2
0	1	1	0
1	1	0	1
0	1	1	0
0	2	1	0
1	1	1	1
1	2	2	1
1	1	3	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
2	1	1	2
1	1	1	1
1	2	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	2	2	1
1	1	1	1
1	1	0	1
1	1	1	1
0	1	1	0
1	1	2	1
1	1	1	1
1	2	2	1
0	1	1	1
1	1	1	1
2	2	1	2
1	1	1	1
1	1	1	1
6	3	1	8
1	1	1	1
1	1	0	1
1	1	1	1
3	2	1	2
4	4	3	3
3	2	2	3
3	2	1	3
0	1	1	0
1	1	1	1
1	1	0	1
1	1	1	2
2	1	1	2
1	1	1	1
2	1	1	1
1	1	1	1
0	13	2	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	0	2
2	1	1	1
1	1	1	2
1	1	1	2
1	1	1	0
2	1	1	2
1	1	0	1
4	1	0	4
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	2	0
2	2	1	1
2	1	0	2
1	1	1	1
4	2	3	4
0	1	1	1
1	2	2	1
1	1	1	1
1	1	0	1
0	1	1	0
0	4	2	0
1	1	1	1
1	1	1	1
1	1	0	1
0	2	1	0
1	1	1	1
2	1	2	2
0	1	1	0
2	1	0	1
0	1	1	0
2	1	1	1
2	2	1	2
1	1	1	1
1	1	1	2
2	1	1	2
2	3	2	2
1	1	1	1
1	2	1	1
2	2	1	2
1	1	1	1
1	1	0	1
1	1	1	2
1	1	0	1
2	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	2
0	1	0	2
1	1	1	1
1	2	1	1
4	4	3	4
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	3	2	2
2	1	1	2
2	3	3	2
4	2	2	3
1	1	1	1
2	2	1	2
2	1	1	2
2	2	2	2
1	1	0	1
0	1	0	1
1	2	1	1
1	1	1	1
1	1	1	1
0	1	1	0
1	2	2	1
1	1	1	1
2	1	1	2
4	3	2	3
1	1	0	1
1	1	1	1
1	1	1	1
1	1	0	1
2	1	0	1
1	1	0	1
1	1	1	1
3	3	3	3
1	1	2	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
0	1	1	0
1	2	0	1
1	2	1	1
3	2	2	4
0	1	1	0
0	1	1	0
1	1	1	1
1	1	2	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
1	1	1	1
1	1	1	2
2	2	0	2
3	2	2	3
1	1	1	1
1	1	1	1
1	2	2	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	2	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	3	1	1
1	1	0	1
1	1	1	1
2	2	1	2
1	1	2	1
2	1	1	2
1	1	1	1
2	3	1	3
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	2	2	2
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	0	1
0	1	1	0
1	1	0	1
3	2	2	3
0	1	2	0
1	1	1	1
1	1	1	1
3	2	2	3
1	1	1	1
2	1	1	2
1	2	1	0
1	1	0	1
1	1	1	1
3	2	1	3
0	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	4	6	1
1	1	1	1
1	1	1	1
2	2	1	1
0	1	1	1
1	1	1	1
1	1	1	1
2	1	0	1
1	1	3	1
1	1	1	1
1	1	1	1
1	1	2	1
1	1	1	1
1	1	1	4
1	1	1	1
0	1	1	0
1	1	1	1
0	1	1	0
2	2	1	3
1	1	1	1
2	1	1	2
3	3	2	2
1	1	0	1
1	1	1	1
1	1	2	1
1	1	1	1
2	2	2	2
1	1	1	1
1	1	1	1
2	1	1	3
1	1	1	1
1	1	0	1
1	1	0	1
1	1	0	1
1	1	1	1
2	2	2	2
1	1	1	1
0	6	1	0
1	1	1	1
1	1	1	1
2	1	1	2
3	1	1	2
1	2	2	1
1	1	1	1
0	1	1	0
1	1	1	1
1	2	1	1
3	3	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
0	2	1	0
2	1	2	3
2	2	1	2
1	3	2	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
3	2	1	3
1	1	1	1
2	1	1	2
2	1	1	2
1	1	1	1
1	1	1	1
2	2	2	3
2	1	1	2
3	2	2	3
1	1	1	1
1	1	1	1
1	1	1	1
3	1	1	1
1	1	0	1
1	2	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
2	1	1	2
2	3	3	2
1	2	2	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
1	1	1	1
2	1	3	2
2	1	1	2
1	1	1	0
0	1	1	0
2	1	1	2
1	1	0	1
1	1	0	1
1	2	1	1
1	1	1	1
1	1	2	1
2	2	1	3
1	1	0	1
2	1	2	2
1	1	1	1
2	1	1	2
1	1	1	1
23	8	5	42
0	9	0	1
1	1	1	1
6	6	3	4
1	1	0	1
1	1	1	1
1	1	1	1
0	1	1	0
3	1	2	2
0	9	3	0
0	1	1	0
1	1	1	1
1	1	1	1
0	1	0	2
2	1	1	2
